Sport,Gold,Silver,Bronze,Total
Diving,40,19,10,69
Weightlifting,31,15,8,54
Gymnastics,29,21,23,73
Table tennis,28,17,8,53
Shooting,22,15,19,56
Badminton,18,8,15,41
Swimming,13,19,11,43
Athletics,8,10,14,32
Judo,8,3,11,22
Taekwondo,7,1,2,10
Fencing,4,7,3,14
Boxing,3,3,6,12
Volleyball,3,1,2,6
Wrestling,2,3,6,11
Sailing,2,3,1,6
Canoeing,2,0,0,2
Archery,1,6,2,9
Rowing,1,4,4,9
Cycling,1,3,3,7
Tennis,1,0,1,2
Synchronized swimming,0,3,2,5
Basketball,0,1,1,2
Beach volleyball,0,1,1,2
Field hockey,0,1,0,1
Football,0,1,0,1
Modern pentathlon,0,1,0,1
Softball,0,1,0,1
Golf,0,0,1,1
Handball,0,0,1,1
